Title,Day,Date,TimeStart,TimeEnd
Battle Flag,Monday,2025-07-07,02:00,03:00
Battle Laglamia,Monday,2025-07-07,08:00,08:25
Exp x8,Monday,2025-07-07,11:00,13:00
Battle Laglamia,Monday,2025-07-07,13:00,13:25
Exp x8,Monday,2025-07-07,16:00,18:00
Revenge,Monday,2025-07-07,18:00,19:00
Battle Flag,Monday,2025-07-07,19:00,20:00
Exp x8,Monday,2025-07-07,21:00,23:00
Battle Laglamia,Tuesday,2025-07-08,01:00,01:25
Exp x8,Tuesday,2025-07-08,02:00,04:00
Revenge,Tuesday,2025-07-08,06:00,07:00
Exp x8,Tuesday,2025-07-08,07:00,09:00
Exp x8,Tuesday,2025-07-08,11:00,13:00
Battle Laglamia,Tuesday,2025-07-08,14:00,14:25
Exp x8,Tuesday,2025-07-08,16:00,18:00
Battle Stone,Tuesday,2025-07-08,19:00,20:00
Exp x8,Tuesday,2025-07-08,21:00,22:00
Exp x8,Wednesday,2025-07-09,02:00,04:00
Battle Flag,Wednesday,2025-07-09,05:00,06:00
Battle Laglamia,Wednesday,2025-07-09,06:00,06:25
Exp x8,Wednesday,2025-07-09,07:00,09:00
Exp x10,Wednesday,2025-07-09,13:00,16:00
Revenge,Wednesday,2025-07-09,16:00,17:00
Battle Laglamia,Wednesday,2025-07-09,19:00,19:25
Battle Flag,Wednesday,2025-07-09,20:00,21:00
Exp x10,Wednesday,2025-07-09,21:00,23:59
Exp x10,Thursday,2025-07-10,00:00,00:00
Exp x10,Thursday,2025-07-10,04:00,07:00
Battle Laglamia,Thursday,2025-07-10,07:00,07:25
Revenge,Thursday,2025-07-10,09:00,10:00
Exp x8,Thursday,2025-07-10,11:00,14:00
Battle Laglamia,Thursday,2025-07-10,17:00,17:25
Exp x8,Thursday,2025-07-10,18:00,21:00
Exp x8,Friday,2025-07-11,01:00,04:00
Battle Laglamia,Friday,2025-07-11,05:00,05:25
Battle Flag,Friday,2025-07-11,06:00,07:00
Revenge,Friday,2025-07-11,11:00,12:00
Exp x8,Friday,2025-07-11,12:00,15:00
Battle Laglamia,Friday,2025-07-11,15:00,15:25
Battle Flag,Friday,2025-07-11,17:00,18:00
Exp x8,Friday,2025-07-11,20:00,23:00
Revenge,Friday,2025-07-11,23:00,23:59
Revenge,Saturday,2025-07-12,00:00,00:00
Battle Laglamia,Saturday,2025-07-12,03:00,03:25
Exp x8,Saturday,2025-07-12,04:00,07:00
Battle Stone,Saturday,2025-07-12,09:00,10:00
Exp x10,Saturday,2025-07-12,10:00,23:59
Exp x10,Sunday,2025-07-13,00:00,23:59
Exp x10,Monday,2025-07-14,00:00,10:00
Shilon War,Saturday,2025-07-12,20:00,21:00
Battle Laglamia,Saturday,2025-07-12,21:00,21:25
Battle Flag,Sunday,2025-07-13,02:00,03:00
Battle Laglamia,Sunday,2025-07-13,09:00,09:25
Battle Laglamia,Sunday,2025-07-13,20:00,20:25
Gwh War,Sunday,2025-07-13,21:00,22:00
